2to3	python3-basic
2to3-3.12	python3-basic
4channels	devpkg-LibRaw
4dsphere	calc
7z	dev-utils
7za	dev-utils
ATR_analysis	smartcard
DllPlugInTester	devpkg-cppunit
FileCheck	llvm
FileCheck-17	llvm
Fritzing	maker-electronics
MQTTVersion	devpkg-paho-mqtt-c
Magick++-config	ImageMagick
MagickCore-config	ImageMagick
MagickWand-config	ImageMagick
Markdown.pl	perl-extras
ModemManager	NetworkManager-extras
NetworkManager	NetworkManager
R	R-basic
R-script	R-basic
Rscript	devpkg-R
Shape_PointInPoly	devpkg-shapelib
SvtAv1DecApp	SVT-AV1
SvtAv1EncApp	SVT-AV1
SvtHevcEncApp	SVT-HEVC
ThermalMonitor	desktop-apps-extras
Thunar	xfce4-desktop
WebKitWebDriver	webkitgtk
X	perl-graphics
Xdummy	x11vnc
Xnest	perl-graphics
Xorg	perl-graphics
Xvfb	perl-graphics
Xvnc	tigervnc
Xwayland	wayland-server
[	os-core
a2ping	texlive
a2x	dev-utils
a5toa4	texlive
ab	httpd
abicompat	devpkg-libabigail
abidiff	devpkg-libabigail
abidw	devpkg-libabigail
abilint	devpkg-libabigail
abipkgdiff	devpkg-libabigail
abireport	package-builder
about-eid-mw	eid-mw
accel-config	accel-config
accessdb	man-pages
accountwizard	desktop-kde-apps
ace2sam	samtools
aclients	amateur-radio
aclocal	c-basic
aclocal-1.16	c-basic
aconnect	alsa-utils
acpibin	acpica-unix2
acpidump	acpica-unix2
acpiexamples	acpica-unix2
acpiexec	acpica-unix2
acpihelp	acpica-unix2
acpisrc	acpica-unix2
acpixtract	acpica-unix2
acyclic	graphviz
add.modules	modules
adddebug	desktop-kde-apps
addftinfo	man-pages
addgnupghome	gnupg
addpart	os-core
addr2line	binutils
adhocfilelist	texlive
adwaita-1-demo	devpkg-libadwaita
affixcompress	devpkg-hunspell
afm2afm	texlive
afm2pl	texlive
afm2tfm	texlive
ag	the_silver_searcher
agentxtrap	performance-tools
agetty	os-core
aggregate_profile.pl	openmpi
akonadi2xml	akonadi
akonadi_agent_launcher	akonadi
akonadi_agent_server	akonadi
akonadi_akonotes_resource	desktop-kde-apps
akonadi_archivemail_agent	desktop-kde-apps
akonadi_benchmarker	akonadi
akonadi_birthdays_resource	desktop-kde-apps
akonadi_contacts_resource	desktop-kde-apps
akonadi_control	akonadi
akonadi_davgroupware_resource	desktop-kde-apps
akonadi_ews_resource	desktop-kde-apps
akonadi_ewsmta_resource	desktop-kde-apps
akonadi_followupreminder_agent	desktop-kde-apps
akonadi_google_resource	desktop-kde-apps
akonadi_html_to_text	akonadi
akonadi_ical_resource	desktop-kde-apps
akonadi_icaldir_resource	desktop-kde-apps
akonadi_imap_resource	desktop-kde-apps
akonadi_indexing_agent	akonadi
akonadi_knut_resource	akonadi
akonadi_maildir_resource	desktop-kde-apps
akonadi_maildispatcher_agent	desktop-kde-apps
akonadi_mailfilter_agent	desktop-kde-apps
akonadi_mailmerge_agent	desktop-kde-apps
akonadi_mbox_resource	desktop-kde-apps
akonadi_migration_agent	desktop-kde-apps
akonadi_mixedmaildir_resource	desktop-kde-apps
akonadi_newmailnotifier_agent	desktop-kde-apps
akonadi_notes_agent	knotes
akonadi_notes_resource	desktop-kde-apps
akonadi_openxchange_resource	desktop-kde-apps
akonadi_pop3_resource	desktop-kde-apps
akonadi_rds	akonadi
akonadi_sendlater_agent	desktop-kde-apps
akonadi_tomboynotes_resource	desktop-kde-apps
akonadi_unifiedmailbox_agent	desktop-kde-apps
akonadi_vcard_resource	desktop-kde-apps
akonadi_vcarddir_resource	desktop-kde-apps
akonadiconsole	akonadi
akonadictl	akonadi
akonadiselftest	akonadi
akonadiserver	akonadi
akonaditest	akonadi
akregator	desktop-kde-apps
akregatorstorageexporter	desktop-kde-apps
al	mono
al2	mono
albatross	texlive
aleph	texlive
allcm	texlive
allec	texlive
allneeded	texlive
alrecord	transcoding-support
alsa-info.sh	alsa-utils
alsabat	alsa-utils
alsabat-test.sh	alsa-utils
alsaconf	alsa-utils
alsactl	alsa-utils
alsaloop	alsa-utils
alsamixer	alsa-utils
alsatplg	alsa-utils
alsaucm	alsa-utils
altonegen	transcoding-support
amazon-efs-mount-watchdog	cloud-api
amazon-ssm-agent	os-cloudguest-aws
amd_hdmi_compliance	igt-gpu-tools
amdgpu-arch	llvm
amdgpu-arch-17	llvm
amidi	alsa-utils
amixer	alsa-utils
ampctl	amateur-radio
ampctld	amateur-radio
amqp-consume	devpkg-rabbitmq-c
amqp-declare-queue	devpkg-rabbitmq-c
amqp-delete-queue	devpkg-rabbitmq-c
amqp-get	devpkg-rabbitmq-c
amqp-publish	devpkg-rabbitmq-c
amstex	texlive
amuFormat.sh	storage-utils
anacron	cronie
analyseplugin	kde-frameworks5-dev
analyze	devpkg-hunspell
analyze-build	llvm
analyze-build-17	llvm
animate	ImageMagick
annotate	devpkg-libgd
ansible	ansible
ansible-community	ansible
ansible-config	ansible
ansible-connection	ansible
ansible-console	ansible
ansible-doc	ansible
ansible-galaxy	ansible
ansible-inventory	ansible
ansible-playbook	ansible
ansible-pull	ansible
ansible-test	ansible
ansible-vault	ansible
ant	java-basic
antRun	java-basic
aomdec	kde-frameworks5-dev
aomenc	kde-frameworks5-dev
apachectl	httpd
aplay	alsa-utils
aplaymidi	alsa-utils
append2simg	storage-utils
appletviewer	java-basic
applygeo	R-extras-dev
applygnupgdefaults	gnupg
applyplugin	kde-frameworks5-dev
appserver	amateur-radio
appstream-builder	devpkg-appstream-glib
appstream-compose	devpkg-appstream-glib
appstream-util	devpkg-appstream-glib
appstreamcli	pidgin
apr-1-config	devpkg-apr
apropos	man-pages
apu-1-config	devpkg-apr-util
apxs	application-server
ar	binutils
arandr	arandr
arcconf_lsmplugin	sysadmin-remote
